gene,celltype,mean_ref,mean_test,det_ref,det_test,common_log2fc,delta_det_pp,lfc_DUET,lfc_MAST,lfc_diffxpy,lfc_DESeq2,lfc_Wilcoxon
LYZ,Stellate cell,0.0024622027,0.24552044,0.004061738424045491,0.17689243027888515,6.8187,17.283069185483964,0.3506588726534629,0.3497395437648682,4.433098706054251,6.268850429284365,6.818699836730957
MATR3,Stellate cell,0.9486417,0.00012415386,0.6888708367181096,0.00039840637450199205,-13.637414,-68.84724303436076,-1.3684219087098766,-1.3662040143459036,-8.744166281263418,-9.369981880069858,-13.637414932250977
MRPS24,Stellate cell,0.009544855,0.60380137,0.01299756295694557,0.4860557768924393,6.433716,47.305821393549365,0.8573314501522771,0.8562683652232121,3.881345552439956,5.989948011226483,6.433717250823975
MSANTD3,Stellate cell,0.7179372,0.09969921,0.5710804224207916,0.10956175298804723,-3.3244228,-46.15186694327444,-0.8919281259019801,-0.8911700722879641,-2.609121242035611,-3.1011786120132028,-3.324420690536499
NCBP2AS2,Stellate cell,0.93459964,0.19177622,0.674248578391546,0.19482071713147528,-2.870678,-47.942786126007064,-1.071667410958531,-1.070917050165926,-2.3063628763446,-2.253526653323502,-2.8706774711608887
NME2,Stellate cell,0.0721357,1.7924702,0.10154346060113748,0.8681274900398086,6.0639534,76.65840294386712,2.4819160616880485,2.480602504502245,3.5884396125015146,5.639277630788956,6.06395149230957
NR1D1,Stellate cell,0.28728274,0.039649453,0.2786352558895194,0.042231075697211094,-3.0405915,-23.64041801923083,-0.3572592997508339,-0.3566545782474379,-2.5465177548601203,-2.7409399740727456,-3.040591239929199
OSGIN2,Stellate cell,0.27235398,0.03933001,0.2696994313566194,0.04382470119521905,-2.964235,-22.587473016140034,-0.3361824957418811,-0.3356174731621841,-2.7301561311047022,-3.341956783353403,-2.9642348289489746
PFDN5,Stellate cell,0.14618023,2.0177305,0.1681559707554832,0.9171314741035481,5.3725944,74.8975503348065,2.7000769413065218,2.6986115944140683,3.0538325176476446,5.287097557695468,5.372594833374023
PGP,Stellate cell,0.9325404,0.22498342,0.6783103168155914,0.23147410358565954,-2.6106024,-44.68362132299318,-1.0207895882787277,-1.0201154788262417,-2.037499614882782,-1.8061432774022692,-2.6106033325195312
POLD4,Stellate cell,0.0073133023,0.46943086,0.009748172217709178,0.39721115537849266,6.350812,38.746298316078345,0.6666949387415327,0.6656635805895825,3.705782110695078,6.056235030278695,6.350812911987305
PSMB1,Stellate cell,2.3573463,0.96257126,0.9715678310316727,0.6669322709163252,-2.5628593,-30.46355601153474,-2.012235242356486,-2.01057002408881,-1.939668610773408,-1.594667625564402,-2.5628597736358643
RPL17,Stellate cell,0.26606724,2.8419027,0.30463038180341023,0.970517928286809,5.7272735,66.58875464833989,3.7161470563138383,3.714265437214712,3.134992810198349,5.166179051329071,5.727275371551514
SNHG30,Stellate cell,0.65742743,0.110311925,0.5434606011372826,0.11633466135458104,-2.9950602,-42.71259397827015,-0.7893211756926033,-0.788631797080785,-2.534347524957192,-2.666705670552875,-2.995060920715332
